Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.001953125,0.0,0.0009765625,0.0,0.0,0.0,0.0,0.015625,0.4365234375,0.16015625,0.005859375,0.0,0.005859375,0.181640625,0.0,0.005859375,0.001953125,0.0,0.0009765625,0.0,0.0009765625,0.0,0.00390625,0.0,0.1630859375,0.0,0.0029296875,0.0,0.0,0.0009765625,0.0,0.001953125,0.0,0.0009765625,0.0,0.0,0.0,0.0009765625,0.0009765625,0.0009765625,0.001953125,0.0009765625,0.0,0.0009765625,0.0,0.0,0.0,0.0,0.0,0.0009765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0048828125,0.0,0.0,0.0029296875,0.0,0.0009765625,0.009765625,0.083984375,0.046875,0.1787109375,0.015625,0.001953125,0.013671875,0.26171875,0.0009765625,0.0087890625,0.001953125,0.0,0.0009765625,0.001953125,0.0126953125,0.0,0.0126953125,0.0068359375,0.2890625,0.0,0.009765625,0.0,0.0,0.0078125,0.0029296875,0.0,0.0009765625,0.0009765625,0.0,0.001953125,0.0,0.001953125,0.0,0.0029296875,0.001953125,0.0009765625,0.0,0.0029296875,0.0009765625,0.0029296875,0.0009765625,0.0,0.0,0.0029296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.0048828125,0.0068359375,0.001953125,0.0029296875,0.015625,0.0048828125,0.001953125,0.04296875,0.083984375,0.4052734375,0.0322265625,0.0009765625,0.0087890625,0.0,0.0478515625,0.0068359375,0.0048828125,0.0107421875,0.0,0.0009765625,0.00390625,0.0390625,0.0,0.0361328125,0.0166015625,0.1494140625,0.0,0.015625,0.0,0.0029296875,0.0029296875,0.0,0.0,0.0,0.001953125,0.0009765625,0.0078125,0.0009765625,0.0009765625,0.0009765625,0.0,0.0009765625,0.0009765625,0.0048828125,0.001953125,0.005859375,0.0078125,0.005859375,0.0048828125,0.001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0048828125,0.0,0.00390625,0.005859375,0.0244140625,0.005859375,0.0,0.0654296875,0.0205078125,0.337890625,0.1630859375,0.0185546875,0.00390625,0.013671875,0.033203125,0.0029296875,0.013671875,0.0048828125,0.0,0.0009765625,0.0009765625,0.017578125,0.0,0.029296875,0.0068359375,0.173828125,0.0,0.0146484375,0.0,0.0009765625,0.0146484375,0.0009765625,0.0,0.0,0.0,0.0,0.0029296875,0.0,0.0,0.0,0.0009765625,0.0,0.0,0.001953125,0.0,0.001953125,0.0048828125,0.001953125,0.0009765625,0.0009765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5,0.00390625,0.0048828125,0.0029296875,0.0048828125,0.001953125,0.0068359375,0.0087890625,0.0673828125,0.0615234375,0.0673828125,0.21484375,0.0283203125,0.0,0.0498046875,0.1708984375,0.001953125,0.025390625,0.0,0.0,0.0009765625,0.001953125,0.0,0.0,0.0,0.001953125,0.232421875,0.0,0.0,0.0,0.0009765625,0.0263671875,0.0,0.0,0.0,0.0,0.001953125,0.0,0.0009765625,0.0,0.0,0.0,0.0,0.0029296875,0.0,0.001953125,0.0009765625,0.0009765625,0.0009765625,0.0029296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.001953125,0.01171875,0.0009765625,0.0,0.001953125,0.0,0.013671875,0.0244140625,0.17578125,0.41796875,0.00390625,0.0087890625,0.0078125,0.005859375,0.1171875,0.0107421875,0.00390625,0.0009765625,0.0009765625,0.0048828125,0.001953125,0.017578125,0.0,0.01953125,0.0009765625,0.09765625,0.001953125,0.0,0.001953125,0.0009765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0068359375,0.0,0.0,0.0,0.0029296875,0.0,0.0009765625,0.0048828125,0.0,0.0029296875,0.0126953125,0.01171875,0.0009765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0.0,0.0009765625,0.001953125,0.0009765625,0.005859375,0.0,0.0048828125,0.01953125,0.1572265625,0.521484375,0.1572265625,0.0048828125,0.005859375,0.01171875,0.0107421875,0.0029296875,0.0029296875,0.0009765625,0.0009765625,0.001953125,0.0,0.0185546875,0.0009765625,0.0126953125,0.00390625,0.00390625,0.001953125,0.0029296875,0.0009765625,0.0,0.0126953125,0.0,0.0,0.0,0.0,0.0,0.0078125,0.0,0.0009765625,0.0,0.0,0.0,0.0009765625,0.0009765625,0.0,0.0009765625,0.0087890625,0.005859375,0.0009765625,0.0009765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.005859375,0.0,0.0,0.0,0.0,0.0,0.064453125,0.0654296875,0.07421875,0.2724609375,0.0244140625,0.0,0.0048828125,0.3720703125,0.0,0.0048828125,0.0009765625,0.0,0.0009765625,0.0,0.00390625,0.0,0.0,0.0068359375,0.083984375,0.0,0.0009765625,0.001953125,0.0,0.0068359375,0.0,0.0,0.0,0.0,0.0009765625,0.0,0.0009765625,0.0,0.0,0.0009765625,0.0,0.0,0.0,0.0,0.0,0.001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.5,0.005859375,0.01171875,0.00390625,0.0,0.0029296875,0.0009765625,0.0068359375,0.0625,0.033203125,0.1396484375,0.037109375,0.005859375,0.0029296875,0.005859375,0.5322265625,0.00390625,0.0087890625,0.0,0.0,0.001953125,0.0,0.0009765625,0.0,0.0,0.0029296875,0.076171875,0.0,0.001953125,0.0,0.0,0.001953125,0.0,0.0009765625,0.0029296875,0.0009765625,0.0,0.00390625,0.001953125,0.0,0.0009765625,0.0009765625,0.001953125,0.0009765625,0.0048828125,0.001953125,0.0048828125,0.0078125,0.0078125,0.0029296875,0.001953125,0.001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0078125,0.0009765625,0.013671875,0.01171875,0.0322265625,0.01171875,0.005859375,0.0615234375,0.0068359375,0.4091796875,0.1572265625,0.0068359375,0.0048828125,0.0068359375,0.1708984375,0.001953125,0.0029296875,0.0009765625,0.0,0.0,0.001953125,0.0107421875,0.0,0.0107421875,0.005859375,0.0107421875,0.0,0.005859375,0.0,0.0,0.0048828125,0.0,0.0009765625,0.0,0.0,0.0009765625,0.001953125,0.0,0.0,0.001953125,0.0009765625,0.0,0.0029296875,0.001953125,0.001953125,0.00390625,0.001953125,0.005859375,0.005859375,0.001953125,0.001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.5,0.0078125,0.03515625,0.0029296875,0.0048828125,0.0126953125,0.0068359375,0.00390625,0.041015625,0.109375,0.177734375,0.375,0.01953125,0.001953125,0.00390625,0.0126953125,0.001953125,0.0107421875,0.0048828125,0.0,0.0,0.001953125,0.009765625,0.0,0.009765625,0.0,0.12890625,0.0009765625,0.0009765625,0.0,0.0,0.001953125,0.0,0.0,0.0029296875,0.0,0.0009765625,0.0009765625,0.0,0.0,0.0009765625,0.0,0.0009765625,0.0,0.001953125,0.0,0.0,0.0,0.0,0.001953125,0.001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
