Old ID,New ID
1,0
0,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
62,12
12,13
13,14
63,15
14,16
19,17
24,18
26,19
27,20
28,21
37,22
43,23
45,24
46,25
48,26
49,27
51,28
52,29
55,30
57,31
58,32
59,33
60,34
61,35
64,36
66,37
67,38
68,39
70,40
72,41
73,42
74,43
76,44
77,45
80,46
79,47
95,48
96,49
97,50
98,51
99,52
100,53
101,54
102,55
103,56
104,57
105,58
106,59
107,60
108,61
109,62
110,63
